7409,9876,10963,10207,9429,8059,7813,6991,6829,5761,3200,2242,1433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3007,-3007,-100.00%
3856,3611,3785,3594,3471,3739,3704,3587,4168,4126,3434,3522,3506,3120,3504,3497,3177,3255,3145,2994,3260,3125,2945,3076,3007,2653,3119,3147,3022,3126,3376,-250,-7.41%
5573,5497,5450,5338,5350,5424,5514,5578,5613,5493,5432,5371,5215,5134,5128,5148,5097,5093,4928,4885,4954,4857,4707,4701,4587,4458,4621,4623,4689,4662,5104,-442,-8.66%
12735,12769,12787,12766,12799,12790,12727,12800,12829,12788,12780,12776,12705,12669,12700,12606,12562,12541,12333,12288,12329,12213,12161,12186,12013,12006,11952,11825,11683,11687,12460,-773,-6.20%
8035,8631,9101,8970,8620,8797,8855,8608,8053,7838,7475,9632,9423,9597,9620,9571,9913,9382,9659,9857,9850,8698,8569,7940,8866,9181,8376,8433,7568,7241,8812,-1571,-17.83%
6229,6065,6265,6258,6057,6356,6258,6392,6254,6214,6025,6258,6392,6174,6254,6369,6452,6623,6542,6425,6587,6421,6325,6327,6258,6317,6121,6015,6256,6342,6294,48,0.76%
7301,7275,7412,7901,6983,7449,7580,7352,7593,7682,7354,7140,7771,7743,7444,7788,7099,6998,7483,6744,7071,7371,6823,7349,7369,7022,6963,6689,7189,6765,7290,-525,-7.20%
7085,7029,7126,7054,7033,7126,7086,7129,7140,7200,7009,7070,7039,7017,6877,6673,6593,6676,6475,6423,6390,6171,5954,5977,5793,5836,5791,5585,5300,5206,6562,-1356,-20.66%
3463,3464,3465,3466,3467,3468,3469,3470,3471,5328,6186,6408,5839,5127,4827,4427,3579,3166,2953,2516,2118,1746,1403,1390,1335,1306,1477,1541,1045,3863,3293,570,17.31%
7186,7352,6688,7133,7700,7675,7722,7345,7981,7516,6190,7412,6295,7014,7419,7109,7588,7220,7482,8081,7423,7167,7219,7632,7310,5970,7440,7465,7383,7356,7282,74,1.02%
11032,9925,10254,13947,9736,10322,11009,10381,12509,12520,11348,12373,12296,11477,12418,11764,12085,12457,12620,12741,12304,12240,12815,12488,12841,12201,12254,12766,11938,12308,11912,396,3.32%
