-3007,29.734,61.723
-250,41.115,-112.476
-442,38.694,-118.708
-773,33.328,-115.843
-1571,40.931,46.783
48,8.908,13.847
-525,13.07,14.512
-1356,29.19,30.401
570,23.432,30.596
74,8.404,39.091
396,8.007,38.841
-6216,7.616,38.6
-2849,11.198,41.78
-1556,37.682,45.394
-1748,29.703,53.574
-311,33.982,43.244
-479,33.3,43.459
-3730,32.783,43.579
-96,11.4,8.428
-2568,35.54,91.925
-689,-6.134,35.192
-467,-7.989,32.211
-1239,38.513,31.409
-2062,38.655,31.16
-1659,37.73,30.169
-2820,45.02,59.606
-74,-8.986,28.781
628,38.011,-118.9887677
322,33.888,-112.28
480,-1.79,-51.386
1020,-4.356,-49.499
136,31.233,120.178
408,23.238,32.798
652,22.277,31.582
1119,9.522,37.214
-52,6.474,37.897
1075,46.14,74.296
448,30.722,90.576
1681,33.409,89.913
3183,34.749,90.45
4649,35.067,90.526
4258,35.209,90.354
2144,35.585,91.131
2157,34.581,88.99
3422,35.315,89.267
2668,35.472,88.453
1905,35.752,90.218
1790,31.881,89.058
1230,37.567,89.412
1666,35.744,92.871
472,53.849,127.393
819,36.293,40.785
1909,-2.383,36.006
1740,-3.637,35.036
1536,-4.117,34.258
261,41.881,57.469
658,1.665,34.017
2091,1.483,32.752
20,41.029,20.716
219,40.055,-119.578
58,39.094,-120.048
133,44.46,-110.361
8,46.236,-93.656
-212,40.344,45.393
113,45.267,-82.187
49,53.398,-98.141
83,59.306,-109.292
-81,61.954,-114.212
259,66.096,-120.656
-192,36.931,100.195
288,31.531,117.589
275,29.503,30.702
106,28.742,26.975
-34,58.526,27.585
88,12.022,37.249
-115,7.596,38.737
414,7.463,38.444
-20,7.028,38.444
-272,5.782,37.528
-24,47.586,9.467
-6,46.947,17.958
345,32.812,35.6
210,31.434,35.494
54,35.345,136.124
172,37.48,140.108
26,3.506,36.112
17,-11.253,34.485
-87,50.33,92.661
-264,-38.805,175.882
-47,60.807,31.676
-221,54.008,108.873
191,-1.955,29.201
261,60.86,14.786
66,46.473,6.561
6,46.673,7.766
429,35.902,38.34
206,-5.973,29.657
265,-3.546,35.844
-16,38.736,42.975
152,38.093,30.867
160,37.695,31.636
110,1.681,31.066
50,-0.398,29.715
-51,-0.796,33.738
