9456,9721,9706,9528,9623,10084,9566,9658,10071,9516,9382,9956,9872,9673,10160,10028,9493,10337,10025,9707,10333,9698,9207,10155,9415,9211,9706,9382,9229,9741,9721,20,0.21%
8649,9046,8957,8915,8869,8896,8907,8834,8783,8764,8772,8532,8791,8672,8671,8586,8554,8730,8836,8918,9017,8777,8617,8667,8761,8940,9071,9142,9128,9047,8828,219,2.48%
8913,8987,9061,9052,9230,9220,9131,9031,9069,9102,9175,9041,9115,8978,8937,8928,9041,9270,9228,9126,8945,8796,9066,8922,9132,9198,9259,9249,9154,9141,9083,58,0.64%
8612,8685,8831,8709,8644,8781,8691,8714,8877,8790,8787,8892,8725,8674,8888,8649,8713,8902,8683,8859,8864,8755,8569,8821,8628,8598,8627,8704,8753,8876,8743,133,1.52%
7257,7437,7438,7350,7352,7315,7293,7414,7340,7396,7368,7269,7392,7494,7406,7356,7416,7355,7425,7433,6973,7097,7361,7387,7371,7335,7375,7287,7343,7354,7346,8,0.11%
8925,8892,8888,8984,8979,8988,9057,8997,9062,9185,9100,8828,9153,9123,9148,9247,9205,9004,9159,9028,8797,8894,8823,8837,8890,8809,8759,8928,8764,8762,8974,-212,-2.36%
10582,10747,10912,11110,10913,11030,11093,10793,10966,11257,10812,10637,11417,11003,11157,11131,10783,10809,10901,10225,10528,10684,10407,10433,10778,10471,10695,10878,10590,10936,10823,113,1.04%
3999,3969,3896,3959,3960,4062,4305,3887,4063,4028,3994,3772,3949,3857,3606,4128,3744,3636,4121,4081,3962,3753,3887,4125,4556,3953,3669,4122,3830,4012,3963,49,1.24%
7135,7034,7594,7784,7355,7514,7583,7662,8202,7645,7760,7862,7768,7771,8230,7948,7934,7708,7681,8072,7294,7524,7963,7814,7555,7599,7702,8253,7950,7806,7723,83,1.07%
9579,9684,9573,10281,9993,10459,9731,9825,10014,10029,9826,9904,9774,10033,10398,10602,10187,10105,10389,10344,9622,10216,10257,10584,10567,10445,10338,9778,9744,9995,10076,-81,-0.80%
16238,17048,16196,16519,17088,16649,15960,16650,16861,16994,17610,16236,16965,17305,16626,16999,17455,15862,16360,17325,15860,16318,16822,15760,16393,16736,16239,16969,17440,16940,16681,259,1.55%
13404,12950,12967,13157,12890,12979,13176,12992,13101,13311,13188,13156,13447,13302,13381,13447,13328,13369,13777,13712,13167,13347,13030,13105,13075,12964,13009,13201,12921,13003,13195,-192,-1.46%
13231,13245,13908,13790,13393,13771,13729,13641,13463,13677,12730,13685,13038,13354,13382,13240,13402,12700,13571,12940,15058,12835,12699,12564,14054,12764,13609,13831,13220,13695,13407,288,2.15%
8404,8642,9326,8913,8939,9348,9083,9062,9121,8945,8759,8786,8884,8348,8602,9125,8818,8951,9129,8532,8729,8402,8457,8887,9315,8460,9599,9270,8705,9165,8890,275,3.09%
2655,2292,3049,2902,2497,3024,2952,2676,3164,3056,2679,2295,2690,2626,2745,2525,2140,2592,2576,1761,2706,2707,2251,2652,2688,2252,2871,2601,2091,2721,2615,106,4.05%
5808,5760,5424,5522,5627,6323,5798,6149,6265,5651,6250,6204,6055,6010,6364,6246,6158,6104,6175,5569,5262,5120,5754,6049,6132,5508,6169,5719,5860,5863,5897,-34,-0.58%
8699,8410,8492,8396,8235,8455,8447,8508,8711,8547,8474,8948,8431,8224,8508,8470,8355,8523,8472,8338,8907,8855,9040,8855,8736,8528,8677,8482,8067,8635,8548,88,1.03%
10897,9020,10405,10448,10254,10339,10677,9838,11240,10554,10472,10931,10215,10034,10322,9818,10942,10321,9868,9931,10226,10472,10511,9966,9650,10338,10607,10295,9963,10176,10291,-115,-1.12%
30312,30372,30144,29702,30415,30189,29724,30328,30255,29611,30140,30750,29230,29927,29739,29383,30014,29940,29770,30859,30672,30334,30817,30568,30057,30814,30640,30360,30973,30636,30223,414,1.37%
10327,10712,10456,10508,10719,12312,12199,12272,10307,10197,10426,10412,10117,10355,9870,11333,9842,10284,10650,10344,10410,10337,10340,10412,10277,10341,10387,10282,10346,10558,10578,-20,-0.19%
4739,3932,4055,4439,4650,3614,4346,4448,4075,4258,4420,4701,4457,4365,4474,4634,4538,4500,4650,5007,4630,4849,4854,4667,4919,4827,4560,3434,4071,4171,4443,-272,-6.12%
7322,7735,7761,7815,7590,8045,7990,7874,7807,7794,8029,7612,8286,7916,8394,8030,7994,8430,8298,7307,7008,7292,5221,7504,8259,7758,7869,8178,7598,7724,7748,-24,-0.31%
6013,5694,5925,6148,5704,6037,5922,5985,5882,6049,5419,5890,6124,5768,5992,5928,5799,5879,5789,5879,5987,6028,5711,5870,5797,5851,5926,6067,5912,5890,5896,-6,-0.10%
10529,10585,10613,10543,10379,10362,10229,10326,10341,10468,10518,10557,10469,10406,10405,10215,10179,10486,10578,10034,10782,10517,10522,10569,10380,10259,10384,10011,10089,10762,10417,345,3.31%
9957,9650,9848,9580,9537,9758,9501,9480,9669,9416,9337,10128,9245,9146,9290,9143,9095,9243,9001,8918,10305,10032,9980,10239,9947,9798,9953,9703,9716,9825,9615,210,2.18%
6819,6755,6884,6872,6811,6892,6928,6812,6862,6883,6765,6893,6829,6796,6938,6857,6781,6919,6906,6810,6908,6888,6722,6898,6783,6829,6967,6849,6689,6902,6848,54,0.79%
13326,6048,6232,6113,6046,6157,11843,12089,6097,13321,13403,13246,13321,13403,13246,13300,13425,13243,13321,13403,13293,13467,13472,13193,13098,13229,13115,12085,12046,11819,11647,172,1.48%
2961,2961,2924,2852,2954,3054,2947,3035,3062,2962,2969,3082,3051,2952,3056,3007,2957,3072,2976,2993,3062,3025,3018,3100,2973,2979,3036,3000,2978,3027,3001,26,0.87%
4275,4323,4312,4238,4338,4304,4293,4333,4356,4319,4362,4307,4290,4301,4296,4156,4249,4168,4093,4262,4296,4292,4261,4248,4273,4313,4333,4304,4339,4302,4285,17,0.40%
14134,14120,14169,14396,14583,14619,14586,14648,14652,14562,14661,14594,14476,14680,14586,14500,14559,14473,14363,14587,14451,14396,14604,14457,14493,14483,14373,14514,14416,14397,14484,-87,-0.60%
12385,12397,12330,12358,12447,12318,12596,12622,12428,12928,12667,12323,13293,13077,12810,13091,12907,12510,12720,12571,12565,12226,12346,12307,12358,12349,12291,12419,12317,12277,12541,-264,-2.11%
15278,14589,15446,15538,15287,15282,15426,15543,15472,15489,15451,15104,15670,15526,15336,15387,15465,15400,15257,15379,15261,15286,15131,15160,15321,14815,15296,15284,15484,15274,15321,-47,-0.31%
4600,4120,4321,4425,4084,4543,4915,4627,4766,4837,4496,4126,4872,4618,4790,4749,4761,4780,4665,4541,4071,4416,3572,4150,4445,3815,4307,4603,4278,4230,4451,-221,-4.97%
6519,6439,6621,6415,6344,6829,6726,6506,6504,6351,6681,6337,7132,7421,6638,7178,7304,6472,6564,6784,6369,6519,6465,6412,6566,6262,6189,6605,6308,6800,6609,191,2.89%
9311,8932,8472,8864,8877,8801,8425,8063,9196,9152,7705,9389,8440,9112,9540,9602,9423,9222,9235,8944,9304,9296,8888,9488,9038,6545,9029,8701,8691,9156,8895,261,2.93%
8237,8170,8286,8269,8134,8293,8253,8150,8287,8245,8076,8358,8279,8160,8501,8345,8199,8411,8304,8219,8373,8294,8126,8254,8262,8130,8312,8206,8034,8315,8249,66,0.80%
6406,5997,6128,6122,6019,6173,6005,5828,6401,6097,5788,7488,6137,6017,6979,6218,6067,6326,6291,6050,7362,6186,6047,7501,6170,5961,6146,6043,5805,6274,6268,6,0.10%
3776,4051,4199,4210,3880,4118,4253,4102,4762,4513,4539,3710,4799,4036,4120,4009,3775,3991,4058,3484,3676,3726,3647,3611,3994,3749,4313,4400,4325,4507,4078,429,10.52%
8466,8666,8937,8753,8312,8460,8672,8229,8478,8786,8348,8301,8550,8094,8273,8493,7990,8275,8436,8638,8343,8719,8294,8615,8464,8457,8749,8857,8483,8701,8495,206,2.42%
4242,5329,3430,5030,3947,4378,6172,5285,6558,5466,5639,6857,7519,6607,7060,7592,6878,7144,7483,8363,5491,6023,2919,5284,6252,8204,8708,7677,6042,6398,6133,265,4.32%
9096,8995,9218,9261,9210,9264,9230,9019,9097,9198,9180,9023,9253,9077,9199,9206,9254,9266,9167,9224,8984,9086,8995,9033,9074,8983,9133,9089,9005,9115,9131,-16,-0.18%
7666,7729,7751,7674,7585,7535,7660,7599,7675,7641,7686,7661,7706,7686,7784,7706,7592,7540,7508,7587,7668,7664,7600,7657,7668,7716,7786,7685,7615,7813,7661,152,1.98%
10820,10664,10593,10389,10396,10527,10758,10768,10935,10956,11065,10899,10807,10863,10905,10838,10580,10733,10690,10817,10904,10827,10809,10875,10633,10686,10590,10234,10699,10899,10739,160,1.49%
